category,CodedMonth,Month,Year,DateOccur,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,latitude,longitude,id
2,2017-03,3,2017,3/2/17 1:30,65701,1,"LARCENY-MTR VEH PARTS UNDER $500",0,EILER ST / IDAHO AVE,1, , , , ,38.56766543,-90.2488478,59
2,2017-03,3,2017,3/2/17 2:00,72113,6,"AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR",4393,PENROSE ST,68, ,IN FRONT OF HOME A SINGLE FAMILY RES,4393,PENROSE,38.67533463,-90.23220307,60
3,2017-03,3,2017,3/2/17 4:50,91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5249,WREN AVE,72, , ,5249,WREN,38.69971339,-90.25118286,61
2,2017-03,3,2017,3/2/17 5:30,64711,5,"LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT",17,N TAYLOR AVE,38, , ,4525,LACLEDE,38.63965744,-90.25888755,62
2,2017-03,3,2017,3/2/17 7:00,69702,1,"LARCENY-ALL OTHER UNDER $500",4666,ROSA AVE,6, , ,4666,ROSA,38.57761801,-90.2782982,63
2,2017-03,3,2017,3/2/17 8:00,51112,1,"BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED",4240,LAWN AVE,7, ,APT A,4240,LAWN,38.59059497,-90.27493731,64
8,2017-03,3,2017,3/2/17 8:53,250000,1,"LOITERING-BEGGING",0,IDAHO AVE / LOUGHBOROUGH AVE,1, , , , ,38.55638043,-90.25852392,65
8,2017-03,3,2017,3/2/17 9:10,250000,5,"LOITERING-BEGGING",0,I 64 WESTBOUND / S KINGSHIGHWA,38, ,ALIAS KINGSHIGHWAY/WB 40, , ,38.63133431,-90.26552089,66
6,2017-03,3,2017,3/2/17 10:30,142320,4,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",0,N GRAND BLVD / WASHINGTON AVE,77, , , , ,38.63898578,-90.23164272,67
2,2017-03,3,2017,3/2/17 10:30,65701,1,"LARCENY-MTR VEH PARTS UNDER $500",5043,WINONA AVE,7, , ,4300,CHIPPEWA,38.5910131,-90.27820768,68
2,2017-03,3,2017,3/2/17 12:00,64701,6,"LARCENY-FROM MTR VEH UNDER $500",8612,HALLS FERRY RD,74, , ,8612,HALLS FERRY,38.7165184,-90.23502543,69
2,2017-03,3,2017,3/2/17 12:00,51112,6,"BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED",1235,SWITZER AVE,74, , ,1235,SWITZER,38.70998897,-90.23635988,70
3,2017-03,3,2017,3/2/17 12:30,41011,6,"AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE",3401,MARCUS AVE,55, ,STREET, , ,38.67054177,-90.24641839,71
3,2017-03,3,2017,3/2/17 13:06,91113,5,"SIMPLE ASSAULT-ADULT/NO INJURY",4490,WEST PINE BLVD,38, ,@WEST PINE APTS,4490,WEST PINE,38.64058964,-90.25820415,72
5,2017-03,3,2017,3/2/17 13:28,115400,4,"STLG BY DECEIT/IDENTITY THEFT REPORT",3020,KOSSUTH AVE,67, , ,3020,KOSSUTH,38.66359211,-90.21211123,73
6,2017-03,3,2017,3/2/17 13:50,142320,3,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",1019,LAMI ST,21, , ,1019,LAMI,38.60454574,-90.20840592,74
3,2017-03,3,2017,3/2/17 14:00,44015,6,"ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC",5941,PARK LN,73, , ,5941,PARK,38.71242194,-90.24888987,75
2,2017-03,3,2017,3/2/17 14:30,65701,4,"LARCENY-MTR VEH PARTS UNDER $500",1815,RAUSCHENBACH AVE,60, , ,2325,BLAIR,38.64714057,-90.20626134,76
2,2017-03,3,2017,3/2/17 15:00,51322,3,"BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED",3710,KOSCIUSKO ST,18,RIDGE CREST,APT 102,3710,KOSCIUSKO,38.58613957,-90.21842801,77
2,2017-03,3,2017,3/2/17 15:30,67701,3,"LARCENY-FROM BUILDING UNDER $500",2745,MERAMEC ST,16,MERAMEC SCHOOL, ,2745,MERAMEC,38.57973576,-90.23235552,78
2,2017-03,3,2017,3/2/17 16:00,64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",6124,N BROADWAY,79,LOVES GAS STATION, , , ,38.68518219,-90.21850623,79
2,2017-03,3,2017,3/2/17 16:00,51312,5,"BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED",5023,NORTHLAND AVE,52, , ,5023,NORTHLAND,38.66958319,-90.25796271,80
2,2017-03,3,2017,3/2/17 16:15,69702,2,"LARCENY-ALL OTHER UNDER $500",5741,MANCHESTER AVE,41, , ,5741,MANCHESTER,38.62327889,-90.28318448,81
2,2017-03,3,2017,3/2/17 16:17,51312,1,"BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED",300,WALSH ST,17, ,APT A,300,WALSH,38.56638155,-90.24221358,82
2,2017-03,3,2017,3/2/17 16:30,65701,4,"LARCENY-MTR VEH PARTS UNDER $500",1318,N VANDEVENTER AVE,77, , ,1318,VANDEVENTER,38.64937143,-90.23310966,83
8,2017-03,3,2017,3/2/17 16:40,250000,5,"LOITERING-BEGGING",0,NATURAL BRIDGE AVE / UNION BLV,52, , , , ,38.67927673,-90.2582117,84
2,2017-03,3,2017,3/2/17 17:00,65701,3,"LARCENY-MTR VEH PARTS UNDER $500",3419,IOWA AVE,19, , ,3419,IOWA,38.59318386,-90.22930989,85
2,2017-03,3,2017,3/2/17 17:00,51322,4,"BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED",811,OFALLON ST,62, , ,811,OFALLON,38.63752473,-90.18938413,86
2,2017-03,3,2017,3/2/17 17:00,72130,2,"AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE",3973,HUMPHREY ST,15,CARL S 66 SERVICE STATION, ,3973,HUMPHREY,38.59930183,-90.25290577,87
2,2017-03,3,2017,3/2/17 17:00,64701,1,"LARCENY-FROM MTR VEH UNDER $500",4753,GOETHE AVE,6, , ,4753,GOETHE,38.5763829,-90.27932132,88
8,2017-03,3,2017,3/2/17 17:11,250000,4,"LOITERING-BEGGING",800,N BROADWAY,35, , ,800,BROADWAY,38.63166483,-90.18727644,89
6,2017-03,3,2017,3/2/17 17:18,142320,3,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",2125,CHEROKEE ST,18, , , , ,38.59316069,-90.22292949,90
8,2017-03,3,2017,3/2/17 17:43,250000,4,"LOITERING-BEGGING",800,N 3RD ST,35, , ,800,3RD,38.63108835,-90.1852909,91
2,2017-03,3,2017,3/2/17 17:45,65701,3,"LARCENY-MTR VEH PARTS UNDER $500",3150,S GRAND BLVD,25,ROOSTER S, ,3150,GRAND,38.60108538,-90.24211818,92
2,2017-03,3,2017,3/2/17 17:50,31111,6,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5014,W FLORISSANT AVE,71, , , , ,38.69171107,-90.23701453,93
2,2017-03,3,2017,3/2/17 18:19,31421,4,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",1415,OLIVE ST,36, ,STREET, , ,38.63045826,-90.20049664,94
2,2017-03,3,2017,3/2/17 19:00,64701,6,"LARCENY-FROM MTR VEH UNDER $500",9012,GOODFELLOW BLVD,73, , ,9012,GOODFELLOW,38.72119069,-90.2431021,95
2,2017-03,3,2017,3/2/17 19:30,64701,2,"LARCENY-FROM MTR VEH UNDER $500",5853,SUNSHINE DR,8, , ,5853,SUNSHINE,38.57211783,-90.29751956,96
2,2017-03,3,2017,3/2/17 20:00,71013,5,"AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR",5443,PAGE BLVD,78, , ,5443,PAGE,38.66309922,-90.27540925,97
3,2017-03,3,2017,3/2/17 20:25,43012,4,"AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE",2816,N VANDEVENTER AVE,59,MIDTOWN BAR, ,2816,VANDEVENTER,38.65779998,-90.22656189,98
2,2017-03,3,2017,3/2/17 22:00,64701,2,"LARCENY-FROM MTR VEH UNDER $500",6645,DEVONSHIRE AVE,8, , ,6645,DEVONSHIRE,38.58931466,-90.30682039,99
2,2017-03,3,2017,3/2/17 22:45,64701,2,"LARCENY-FROM MTR VEH UNDER $500",5821,SUNSHINE DR,8, , ,5821,SUNSHINE,38.57169965,-90.29658122,100
2,2017-03,3,2017,3/2/17 22:50,32311,6,"ROBBERY-RESIDENCE /OTHR WEPN USED/SUCCESS",8502,TRAFFORD LN,73, , ,8502,TRAFFORD,38.71478154,-90.25058774,101
2,2017-03,3,2017,3/2/17 23:30,71013,3,"AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR",1415,MISSOURI AVE,32, , ,1415,MISSOURI,38.61742405,-90.2184643,102
6,2017-03,3,2017,3/2/17 23:37,142320,4,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",310,S GRAND BLVD,37,COUNCIL TOWER, ,310,GRAND,38.63171378,-90.2312886,103
2,2017-03,3,2017,3/3/17 0:01,71013,3,"AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR",3911,IOWA AVE,16, , ,3911,IOWA,38.58438454,-90.23111557,104
2,2017-03,3,2017,3/3/17 0:01,65701,3,"LARCENY-MTR VEH PARTS UNDER $500",0,S GRAND BLVD / HARTFORD ST,25, , , , ,38.60187635,-90.24218568,105
2,2017-03,3,2017,3/3/17 1:55,72130,6,"AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE",620,CHAIN OF ROCKS DR,75, , ,620,CHAIN OF ROCKS,38.72921526,-90.22314723,106
3,2017-03,3,2017,3/3/17 3:00,43012,4,"AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE",721,N TUCKER BLVD,36,SHELL GAS STATION, ,721,TUCKER,38.63305425,-90.19665949,107
2,2017-03,3,2017,3/3/17 5:00,64701,6,"LARCENY-FROM MTR VEH UNDER $500",4600,GOODFELLOW BLVD,70, ,TRIAD MANUFACTURING COMPANY PARKING,4112,DRESSELL,38.69496793,-90.26415704,108
2,2017-03,3,2017,3/3/17 5:10,65711,6,"LARCENY-MTR VEH PARTS UNDER $500 /ATTEMPT",5215,EMERSON AVE,72, , ,5215,EMERSON,38.69392274,-90.2475359,109
6,2017-03,3,2017,3/3/17 6:30,142320,1,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",4738,GRAVOIS AVE,5, , , , ,38.58164821,-90.26628844,110
2,2017-03,3,2017,3/3/17 7:07,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4524,LOUISIANA AVE,16, , ,4524,LOUISIANA,38.57583513,-90.24476692,111
5,2017-03,3,2017,3/3/17 8:00,112010,3,"FRAUD-CREDIT DEVICE/OVER $150",3510,RUSSELL AVE,26, , ,3510,RUSSELL,38.61263445,-90.23826802,112
2,2017-03,3,2017,3/3/17 8:30,65701,1,"LARCENY-MTR VEH PARTS UNDER $500",4724,EICHELBERGER ST,6, , ,4724,EICHELBERGER,38.5801199,-90.2767373,113
5,2017-03,3,2017,3/3/17 9:00,112010,3,"FRAUD-CREDIT DEVICE/OVER $150",3206,S GRAND BLVD,25,EVOLUTION FITNESS, ,3206,GRAND,38.59884567,-90.24256113,114
5,2017-03,3,2017,3/3/17 9:22,115400,1,"STLG BY DECEIT/IDENTITY THEFT REPORT",4236,IOWA AVE,17, , ,4236,IOWA,38.57822708,-90.23173006,115
2,2017-03,3,2017,3/3/17 9:30,51112,6,"BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED",1556,GIESEKING LA,73, , ,1556,GIESEKING,38.71413153,-90.24458253,116
2,2017-03,3,2017,3/3/17 9:30,67701,4,"LARCENY-FROM BUILDING UNDER $500",400,S 14TH ST,36,SHERATON HOTEL,ROOM 625,400,14TH,38.62402824,-90.20193157,117
6,2017-03,3,2017,3/3/17 10:30,142320,4,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",2340,MARKET ST,36,HOTEL- COURTYARD BY MARRIOTT, , , ,38.6299837,-90.21498072,118
2,2017-03,3,2017,3/3/17 11:00,51111,4,"BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED",3916,N FLORISSANT AVE,65, ,APT 104,3916,FLORISSANT,38.66228657,-90.20609092,119
2,2017-03,3,2017,3/3/17 11:30,66601,3,"LARCENY-BICYCLES $500 - $24,999",2801,CHEROKEE ST,19, , ,1226,OLIVE,38.59408132,-90.2302995,120
5,2017-03,3,2017,3/3/17 12:00,115400,5,"STLG BY DECEIT/IDENTITY THEFT REPORT",5616,ENRIGHT AVE,48, , ,5616,ENRIGHT,38.65466107,-90.28269526,121
6,2017-03,3,2017,3/3/17 12:00,142320,5,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",12,KINGSBURY PL,47, , ,12,KINGSBURY,38.65000504,-90.27596312,122
2,2017-03,3,2017,3/3/17 13:00,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",800,N TUCKER BLVD,35,ST PATRICK S CENTER, ,800,TUCKER,38.6334331,-90.19556949,123
2,2017-03,3,2017,3/3/17 13:30,31111,2,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4218,RUSSELL BLVD,27, , ,4218,RUSSELL,38.6148109,-90.25423713,124
6,2017-03,3,2017,3/3/17 14:00,142320,4,"DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP",1114,BIDDLE ST,62, , ,1114,BIDDLE,38.63702404,-90.19319115,125
